,mean_reward_100_steps,steps
631,-560.7030287155364,75044
632,-557.7932243526081,75150
633,-551.7249365236692,75228
634,-542.08727157961,75299
635,-537.9597562926084,75362
636,-530.1252141544134,75441
637,-527.8735173812423,75501
638,-523.366241154707,75589
639,-517.7605408862821,75656
640,-512.600281077517,75767
641,-508.3632026482018,75830
642,-501.99100239216983,75895
643,-495.7890700181664,75970
644,-492.60995479969245,76069
645,-488.99922453749656,76138
646,-485.8923037670573,76227
647,-480.19384250346127,76349
648,-472.65110513017163,76455
649,-461.6176242440504,76557
650,-452.6382952603371,76615
651,-447.2328434232383,76673
652,-441.34683642813417,76765
653,-409.8716020213477,76857
654,-406.1264926210724,76912
655,-404.36635550118723,77039
656,-403.3481480321115,77119
657,-400.0555359296823,77178
658,-398.72070136302455,77280
659,-395.78391054202564,77364
660,-391.77101670228825,77459
661,-389.8855663548194,77522
662,-386.01307295180226,77590
663,-381.0428896315554,77710
664,-376.1239118894523,77790
665,-375.3883091526133,77870
666,-372.02045413672073,77962
667,-367.6086741700458,78043
668,-367.3783719857253,78126
669,-363.1409960894601,78188
670,-359.7883612274535,78261
671,-350.154931424701,78343
672,-347.74986326619256,78405
673,-345.53995045102397,78490
674,-342.24558423669043,78579
675,-336.4504118359175,78666
676,-330.679707078139,78726
677,-325.9204131331059,78843
678,-322.9750508981153,78900
679,-319.38511728060786,78957
680,-314.4947389457821,79029
681,-314.8178110402203,79129
682,-315.4001685587815,79241
683,-310.8138803183425,79306
684,-310.66259919379803,79383
685,-310.40474568110136,79487
686,-309.5439258857461,79563
687,-308.69075175438525,79682
688,-307.06720736226856,79753
689,-305.5085369137224,79852
690,-298.92547775220976,79940
691,-295.6559444176103,79994
692,-295.53187856420305,80085
693,-290.1550415444181,80210
694,-283.49028274154944,80280
695,-277.20883109417997,80362
696,-277.23752997385105,80456
697,-275.948613847778,80544
698,-274.1139243202478,80634
699,-267.8296282595793,80737
700,-269.199624614461,80853
701,-267.5752594065671,80944
702,-265.7164380849921,81070
703,-263.8749145602573,81143
704,-261.90992700694517,81217
705,-258.65655068896814,81332
706,-258.19181974170607,81431
707,-259.6137048055366,81569
708,-263.8481036584583,81683
709,-263.01987587309907,81754
710,-263.39128519460536,81860
711,-262.4865675072498,81940
712,-266.8218049612087,82050
713,-269.39935200787585,82135
714,-270.1261705471137,82212
715,-269.4606999431495,82311
716,-270.38780472215547,82387
717,-271.8942639906638,82468
718,-275.20828302017287,82569
719,-278.3429085396898,82668
720,-280.78960952910836,82752
721,-284.19615183706685,82866
722,-285.2377556127374,82941
723,-289.9695106244536,83049
724,-293.4509482665181,83135
725,-296.78791411925755,83239
726,-299.7703457588589,83325
727,-303.0055776019641,83400
728,-304.53311773520704,83486
729,-306.4729684564864,83582
730,-309.15444970919845,83659
731,-311.0134334901112,83719
732,-312.9275940992952,83792
733,-316.76795865283094,83892
734,-319.5305960504855,83971
735,-319.60761054349933,84065
736,-322.37112660979244,84160
737,-323.811749968645,84238
738,-324.5212310394861,84305
739,-324.1043471572752,84384
740,-326.5448941901987,84484
741,-325.82705128293117,84551
742,-329.19123926769237,84629
743,-329.54798954571123,84720
744,-330.03266676500925,84795
745,-330.5685303813099,84874
746,-330.08482824028783,84957
747,-329.8232884547891,85051
748,-330.90134161568955,85126
749,-332.6101007078706,85223
750,-332.92124061132114,85298
751,-332.1812007633192,85384
752,-334.0091550146946,85499
753,-332.52657810002034,85584
754,-331.99907305652187,85675
755,-328.95339427844016,85747
756,-326.26109863303304,85827
757,-324.6001747799862,85921
758,-324.00102287237877,86018
759,-320.90393609724293,86109
760,-319.4721497369899,86168
761,-321.23000382162587,86237
762,-318.60863739027167,86308
763,-318.00282371300403,86383
764,-316.34491224637907,86437
765,-315.21568684609343,86542
766,-314.2307488441724,86606
767,-311.85303999264704,86671
768,-308.103177173061,86731
769,-306.13179282517353,86836
770,-303.79069809115464,86924
771,-301.2566110615436,87002
772,-300.41816344439775,87081
773,-298.3939725801445,87173
774,-297.0844822040691,87227
775,-295.4430013677696,87288
776,-293.8946108786537,87379
777,-293.28609680580905,87478
778,-290.5963897513044,87534
779,-289.5103962397205,87602
780,-286.9451459117695,87662
781,-283.2715847324916,87724
782,-279.95499577917803,87811
783,-279.1988181992228,87897
784,-276.65457490268824,87983
785,-273.6549462921723,88045
786,-271.6896420627039,88127
787,-269.4104200183948,88212
788,-268.5671653452523,88297
789,-265.57620878426957,88361
790,-264.0344828250311,88428
791,-263.91129100586187,88525
792,-260.5692650437018,88588
793,-258.6117914166229,88687
794,-258.96074616954314,88760
795,-255.75068547279062,88829
796,-252.4966127032094,88895
797,-249.4473271749041,88953
798,-246.35889744535652,89011
799,-247.85194420194964,89114
800,-245.09471763846258,89187
801,-242.79115457143158,89279
802,-239.43292665839098,89352
803,-237.13808515099836,89408
804,-234.95227502929694,89500
805,-233.49867613076466,89592
806,-229.07418416547824,89655
807,-224.98595228401666,89727
808,-219.64211311692492,89812
809,-218.65133219884578,89903
810,-215.89257269404166,89980
811,-213.7717504939392,90049
812,-209.95837123499098,90160
813,-205.42719811292292,90237
814,-202.70032596276008,90331
815,-202.54038592543077,90428
816,-201.05343262444978,90530
817,-198.97579862660004,90615
818,-196.15405232984472,90737
